SATV	SATM	CGPA	MGPA	Psych1	Psych10	SAT
390	450	2.97	3	2.66	2.33	840
400	440	2.48	2.7	1	1	840
410	450	2.19	1.7	2.33	1	860
400	460	1.96	1.79	¥	2	860
390	520	3.07	3.61	2	2.33	910
430	490	2.94	2.75	3	2.66	920
480	450	2.62	2.44	2.33	1.66	930
440	500	2.9	2.96	2.66	3	940
490	450	2.33	1.97	1	2.66	940
410	540	2.34	2.57	2.33	3	950
420	530	2.75	2.44	2	3	950
420	550	3.22	3.29	3.66	3.66	970
440	530	3.05	3.22	2.33	2.66	970
510	460	2.52	2.63	2.66	2	970
460	530	2.67	2.83	2.33	3	990
490	500	2.61	2.83	4	2.33	990
490	510	2.5	2.33	1	2	1000
490	520	2.99	3.1	3	3	1010
440	570	2.15	2.55	2	2.66	1010
460	570	2.74	2.92	2	3.33	1030
470	560	2.74	2.9	3	¥	1030
500	530	2.22	2.9	3.66	1.66	1030
460	570	2.29	2.3	1.66	1.66	1030
420	620	2.93	2.79	¥	2.33	1040
520	520	1.78	1.48	2.33	1.66	1040
570	480	3.21	3.03	3	3	1050
570	480	3.02	3.75	3.66	3	1050
480	570	2.69	3.22	2.33	3.66	1050
580	470	2.19	2.62	3	2	1050
500	560	3.36	3.5	3	3.33	1060
530	530	2.33	2.42	1	1.66	1060
560	500	2.58	2.23	2.33	2	1060
500	570	2.76	2.83	1.66	3.66	1070
530	540	2.86	2.79	4	2.33	1070
540	530	2.77	2.92	2.66	3.66	1070
600	470	2.7	2.97	3	2	1070
460	610	2.13	1.83	1.66	2.66	1070
500	580	3.07	3.24	2.66	2.33	1080
520	560	3	3.54	3	3.33	1080
500	580	3.01	2.96	3	3	1080
450	630	3.17	3.2	2.66	3.66	1080
530	550	2.23	2.29	2	1	1080
590	490	2.76	2.78	¥	2.66	1080
460	630	3.58	4	3.66	3.66	1090
500	590	3.38	3.67	3.33	3	1090
530	560	2.9	3.17	2.33	2	1090
480	610	2.62	2.46	2.33	2.66	1090
560	530	2.51	2.52	¥	2.66	1090
570	520	2.29	2.17	2	1.66	1090
500	600	2.92	3.52	3	2.66	1100
430	670	2.54	2.33	1.66	2.33	1100
520	580	2.99	3.21	3.33	3	1100
470	630	2.66	2.92	2.33	2.66	1100
510	590	2.61	2.63	2	2.33	1100
480	630	3.47	3.67	4	4	1110
490	620	2.8	2.8	1.66	2.33	1110
490	620	2.63	2.92	0	2.33	1110
470	640	3.38	3.5	3	3	1110
510	600	2.07	2.43	2	1.66	1110
470	650	3.36	3.63	¥	3.66	1120
500	620	2.21	2.39	1	2	1120
540	580	2.45	2.77	2.33	2.33	1120
580	540	2.81	2.47	3.33	3.33	1120
500	630	3.31	3.21	2	2.33	1130
370	760	2.69	2.67	1.66	4	1130
620	510	2.55	2.93	2	3.33	1130
500	630	2.91	2.88	2.66	2.33	1130
520	610	2.68	3	2.66	3.33	1130
490	640	3.24	3.63	2.66	3.66	1130
570	570	2.29	2.25	2.33	2.33	1140
570	570	2.68	2.38	2.66	3	1140
500	640	2.66	2.92	2.33	2.66	1140
610	530	3.44	3.25	3.33	¥	1140
590	560	3.14	3.05	2.66	3	1150
560	590	3.36	3.29	3.33	3.33	1150
520	640	2.7	2.5	2	2.66	1160
530	630	2.53	2.58	2	3	1160
470	690	2.27	2.08	1.66	3	1160
520	640	2.81	2.96	3	3	1160
510	650	2.06	1.88	2	2.66	1160
540	630	3.02	3.26	3.66	4	1170
570	600	2.54	2.33	1	2.66	1170
540	630	2.87	3.11	2	3.66	1170
520	650	2.92	2.75	2.66	3	1170
490	680	2.3	1.74	2	2.66	1170
540	630	3	3.19	2.66	3	1170
510	660	3.05	2.83	2.66	2.66	1170
570	600	2.14	2	1.66	2.66	1170
590	590	3.58	3.5	3.66	4	1180
540	640	2.37	2.5	2.33	1.66	1180
570	610	2.3	2.83	2.33	3	1180
590	590	2.46	2.67	2.33	3	1180
510	670	3.65	3.7	3	4	1180
530	650	2.82	3	2.66	3	1180
600	590	2.82	3.07	3.66	2.66	1190
480	710	2.83	2.9	2.66	3.33	1190
560	630	3.25	3.08	3.33	3.66	1190
570	620	2.71	3.25	3.66	3	1190
620	570	2.11	2.13	3	2	1190
580	620	2.72	3.04	2.66	3.33	1200
500	700	2.54	2.71	1.66	3.33	1200
550	650	2.6	2.92	3.33	3.33	1200
560	640	3.14	3.25	3	3.66	1200
580	620	3.25	3.53	3.33	3	1200
540	660	3.68	3.67	4	3.66	1200
520	690	3.45	3.37	4	3	1210
500	710	2.61	2.73	3.33	3	1210
570	640	2.98	3.08	2.33	4	1210
610	600	2.96	2.83	3.33	3.33	1210
580	640	2.51	2.38	2	2.33	1220
510	710	3.57	3.83	3.66	4	1220
610	620	3.23	3.42	3.66	3.33	1230
510	720	2.89	2.83	2.33	3	1230
530	700	3.21	3.42	2.66	3.66	1230
520	710	3.33	3.48	3.33	4	1230
730	500	3.27	3.46	2.66	3	1230
560	670	3.03	2.89	3	3.33	1230
580	660	3.3	3.33	4	3	1240
610	630	3.51	3.67	3.66	3.66	1240
590	650	2.41	2.42	3	2.33	1240
550	690	2.85	2.79	2.33	1.66	1240
640	600	3.23	3.25	2.66	¥	1240
530	710	2.91	2.3	3	3	1240
540	710	2.6	2.85	1.66	3	1250
630	620	3.02	3.03	3	2.33	1250
570	680	2.87	3	2	2.66	1250
600	650	3.25	3.63	3.33	4	1250
610	640	3.21	3.28	3.33	3.66	1250
570	680	3.21	3.25	3.33	3.33	1250
600	650	3.53	3.67	3.33	2.66	1250
540	720	3.07	3.13	3	3.33	1260
560	700	2.51	2.5	3.33	3.33	1260
630	630	3.1	3.17	3.66	2.33	1260
590	670	3.54	3.58	3.33	3.66	1260
640	620	2.71	3.08	1.66	3	1260
610	650	3.37	3.63	3.66	3.33	1260
600	660	2.78	2.88	3.33	3	1260
630	630	2.85	2.88	4	2.66	1260
610	660	3.17	3.46	3	4	1270
580	690	2.21	1.67	2	2.66	1270
560	710	2.93	2.92	2.33	4	1270
550	720	3.55	3.64	4	3.66	1270
620	650	3.46	3.86	3.66	4	1270
610	660	3.31	3.38	4	2.33	1270
630	640	3.08	3.04	2	3.33	1270
600	670	2.48	2.46	2	2.33	1270
610	670	2.71	2.3	2	2	1280
610	670	3.15	3.21	3.66	3.66	1280
600	680	2.73	3.03	3	3	1280
610	670	3.31	3.67	2.33	3.33	1280
640	640	3.07	3.37	3	3.33	1280
660	620	2.7	2.77	3.33	2.66	1280
590	690	2.96	2.77	3.66	4	1280
570	710	3.02	3.37	3.33	3.33	1280
610	670	2.78	3.24	3.66	3.33	1280
640	640	3.18	3.17	3.33	3.33	1280
660	630	2.63	2.88	3.66	2.66	1290
570	720	3.57	3.81	3.66	4	1290
590	700	3.48	3.79	4	4	1290
590	700	3.43	3.5	3	3	1290
660	630	2.85	3.25	3.66	3	1290
580	710	3.27	3.24	3.66	3.33	1290
670	620	2.22	2.46	2.33	2.33	1290
610	680	3.14	3.21	3.66	3	1290
610	680	3	2.95	3	2.66	1290
640	650	3.32	3.21	3.66	3.33	1290
580	710	2.97	2.67	2.33	3	1290
610	680	2.25	2.63	2.33	2	1290
610	690	3.44	3.83	4	4	1300
620	680	3.06	3.38	4	3.33	1300
630	670	2.64	2.54	3.33	3	1300
650	650	3.36	3.2	4	3.66	1300
630	670	2.8	3.12	3	3.33	1300
560	740	3.67	3.67	3.66	4	1300
610	690	2.9	2.41	3.33	3.33	1300
640	660	3.8	3.83	3.66	4	1300
600	700	2.95	3.22	3.33	3.33	1300
600	700	3.28	3.42	3.33	3.66	1300
650	660	3.19	3.3	3.33	3.33	1310
620	690	3.6	3.88	4	3.33	1310
640	670	3.19	3.2	3.66	3.33	1310
600	710	3.67	3.63	4	3.33	1310
610	700	2.8	3.13	3.66	3.33	1310
610	700	2.83	3.08	2.66	3.33	1310
560	750	2.97	2.92	3.33	3.66	1310
610	700	3.68	3.92	3	4	1310
600	710	3.11	3.38	3.33	3	1310
610	700	2.95	3.04	3.33	3.66	1310
550	760	3.51	3.5	3.66	3.66	1310
640	680	3.42	3.48	3.33	3.33	1320
670	650	3.23	3.47	4	3.66	1320
650	670	2.16	2.11	2.33	2.66	1320
670	650	2.69	2.9	2.66	3	1320
730	590	3.59	3.75	3.66	2	1320
640	680	3.54	3.71	3	4	1320
640	680	3.05	3.17	3.33	3.66	1320
670	650	3.39	3.48	3.66	3.33	1320
660	660	3.41	3.7	3.66	3.33	1320
610	710	3.16	3.15	2.33	3	1320
610	710	3.33	3.41	3.66	3.33	1320
680	640	3.44	3.67	3.33	3.66	1320
680	650	3.16	3.25	3.33	3	1330
630	700	3.45	3.58	4	3.66	1330
660	670	2.94	2.88	2.33	3	1330
660	670	3.59	3.7	2.33	4	1330
660	670	2.23	2.86	1	2.33	1330
600	730	3.06	3.14	3	3.33	1330
710	620	3.17	3.33	3	3	1330
650	680	2.71	3.25	3.66	3	1330
710	620	3.48	3.67	3.33	3.66	1330
600	730	3.07	3.17	3.33	3	1330
650	690	3.25	3.52	3.66	¥	1340
580	760	3.58	3.71	3.66	4	1340
700	640	3.48	3.63	4	2.66	1340
670	670	3.77	4	4	4	1340
610	730	2.89	3.38	3.33	3.66	1340
620	720	3.07	3.5	3.33	4	1340
670	670	3.25	3.7	3.66	2.66	1340
620	720	3.75	3.9	3	4	1340
710	630	3.3	3.3	3.66	2.66	1340
640	700	3.21	3.17	3.33	3.66	1340
660	680	2.84	3.21	3	3	1340
610	730	3	2.79	3	2.66	1340
580	760	3.24	3.27	3	4	1340
640	710	3.29	3.59	2	3.66	1350
620	730	3.15	3.56	2.66	2.66	1350
710	640	3.23	3.36	3.33	3	1350
580	770	2.75	3	2.66	2.33	1350
680	670	3.57	3.85	4	3.66	1350
670	680	3.7	3.97	4	4	1350
670	680	2.25	2.78	3	2.33	1350
590	760	3.42	3.54	3.33	4	1350
660	690	3.12	3.54	3.33	4	1350
570	780	3.14	3.17	3.66	2.66	1350
630	720	3.12	3.11	3	3	1350
660	690	3.56	3.88	4	4	1350
680	670	3.47	3.61	3.66	4	1350
610	750	3.12	3.29	3.66	3.66	1360
640	720	2.98	3.08	2.66	2.33	1360
710	650	3.59	3.85	4	3.66	1360
690	670	3.41	3.57	2.66	2.33	1360
600	760	2.9	2.9	3	3	1360
700	660	3.24	3.67	3.66	3	1360
690	670	3.6	3.63	4	4	1360
710	650	3.52	3.66	3.66	¥	1360
630	730	3.48	3.75	3.66	3.66	1360
700	660	3.43	3.29	3.33	3	1360
630	730	3.65	3.54	4	3.66	1360
620	750	2.9	3.1	2.33	3	1370
640	730	2.86	2.88	2.66	3.33	1370
610	760	3.43	3.42	1.66	4	1370
650	720	2.81	2.63	3	3	1370
660	710	3.83	4	4	4	1370
650	720	3.42	3.54	2.66	4	1370
600	770	3.09	2.9	3	2.66	1370
620	750	3.53	3.5	3.66	3	1370
690	680	2.73	2.7	2.33	3	1370
690	690	3.27	3.54	2	3	1380
670	710	3.67	3.96	3.33	3.66	1380
630	750	3.04	3.43	2	3	1380
600	780	3.35	3.42	3.33	4	1380
670	710	3.73	3.93	3.66	3.66	1380
640	740	3.25	3.5	3.66	4	1380
660	720	3.12	3.37	3	¥	1380
680	710	3.14	3.5	3.66	4	1390
680	710	3.55	3.97	4	4	1390
640	750	2.39	2.38	3.33	2.66	1390
670	720	3.28	3.48	2.66	3	1390
660	730	3.06	3.22	3.66	3.66	1390
650	740	2.73	2.77	3	3	1390
680	710	3.29	3.67	4	3.66	1390
660	740	2.96	2.71	3	2.66	1400
710	690	3.34	3.66	3.66	3.66	1400
690	710	3.43	3.79	3.66	3.66	1400
650	750	2.96	2.67	3.66	3	1400
690	710	2.75	3.17	2.66	3.33	1400
670	730	3.67	3.96	3.66	4	1400
650	750	3.57	3.96	4	4	1400
730	670	3.39	3.07	3.66	3.66	1400
670	730	3.2	3.13	3.66	3.66	1400
670	740	3.65	3.89	4	3.33	1410
650	760	3.44	3.67	3.33	3.33	1410
640	770	2.31	2.23	3.66	0	1410
640	770	3.92	4	¥	4	1410
630	780	3.75	3.75	4	4	1410
630	780	3.45	3.63	3.66	3.66	1410
730	680	2.72	3.04	2.33	2.66	1410
640	770	2.22	2.17	3.66	0	1410
660	750	3.31	3.33	3.66	3	1410
700	710	3.39	3.73	3.33	3.33	1410
670	750	2.96	3.33	3.66	3	1420
670	750	3.17	3.13	2.33	3	1420
630	790	3.48	3.57	4	4	1420
680	740	2.8	3.29	2.66	3.66	1420
670	750	3.43	3.71	3.66	4	1420
660	760	3.47	3.33	3.66	4	1420
710	710	2.58	2.79	1.66	2	1420
690	730	2.04	2.29	2.33	2	1420
670	760	3.46	3.86	4	4	1430
750	680	3.86	4	4	4	1430
660	770	2.92	2.79	3.66	3.33	1430
690	740	3.2	3.2	3.66	2.66	1430
660	770	3.49	3.64	3.66	3.33	1430
730	700	3.24	3.66	3.33	4	1430
670	770	3.26	3.42	3.66	2.66	1440
690	750	2.2	2.17	2.33	1	1440
690	750	3.62	3.81	4	3.66	1440
790	650	2.66	3.15	3	2.66	1440
690	750	3.15	3.29	3.66	3.33	1440
700	750	3.21	3.22	2.66	3.33	1450
700	750	3.6	3.78	4	4	1450
700	750	2.86	2.7	2	3.66	1450
710	740	2.45	2.81	3.33	2	1450
710	750	3.4	3.51	¥	3.33	1460
690	770	3.64	3.75	3.66	4	1460
710	750	2.53	2.42	2	1.66	1460
740	730	2.78	3.25	2	3	1470
760	710	3.32	3.57	3.66	2.66	1470
680	800	3.06	3.67	4	3.33	1480
710	780	3.32	3.29	3	4	1490
740	750	3.52	3.67	3.66	3.66	1490
590	920	3.02	3.07	3	3.33	1510
750	760	3.11	3.07	4	3.33	1510
730	790	3.16	3.54	3.33	3.33	1520
770	750	3.22	3.67	2.33	2.66	1520
750	780	3.71	3.79	4	4	1530

