STATE,RATE,DEATHS,WINNER
AL,23.6,1141,Trump
AK,23.5,175,Trump
AZ,16.7,1265,Biden
AR,22.6,673,Trump
CA,8.5,3449,Biden
CO,15.4,922,Biden
CT,6,219,Biden
DE,14.4,135,Biden
FL,13.7,3041,Trump
GA,17.7,1897,Biden
HI,3.4,50,Biden
ID,17.6,321,Trump
IL,14.1,1745,Biden
IN,17.3,1159,Trump
IA,11.2,351,Trump
KS,16.9,494,Trump
KY,20.1,902,Trump
LA,26.3,1183,Trump
ME,10.4,153,Biden
MD,13.5,803,Biden
MA,3.7,268,Biden
MI,14.6,1454,Biden
MN,8.9,513,Biden
MS,28.6,818,Trump
MO,23.9,1426,Trump
MT,20.9,238,Trump
NE,10.1,197,Trump
NV,17,547,Biden
NH,8.9,128,Biden
NJ,5,443,Biden
NM,22.7,479,Biden
NY,5.3,1052,Biden
NC,16,1699,Trump
ND,13.8,100,Trump
OH,15.2,1764,Trump
OK,20.7,826,Trump
OR,13,592,Biden
PA,13.6,1752,Biden
RI,5.1,54,Biden
SC,22,1131,Trump
SD,13.6,120,Trump
TN,21.3,1473,Trump
TX,14.2,4164,Trump
UT,13.6,429,Trump
VT,11.6,76,Biden
VA,13.4,1174,Biden
WA,10.9,864,Biden
WV,18.1,325,Trump
WI,12.2,717,Biden
WY,25.9,154,Trump
