STATE,RATE-2014,Percent Urban
AL,16.9,59
AK,19.2,66
AZ,13.5,89.8
AR,16.6,56.2
CA,7.4,95
CO,12.2,86.2
CT,5,88
DE,11.1,83.3
FL,11.5,91.2
GA,13.7,75.1
HI,2.6,91.9
ID,13.2,70.6
IL,9,88.5
IN,12.4,72.4
IA,7.5,64
KS,11.3,74.2
KY,13.9,58.4
LA,19,73.2
ME,9.4,38.7
MD,9,87.2
MA,3.2,92
MI,11.1,74.6
MN,6.6,73.3
MS,18.3,49.4
MO,15.3,70.4
MT,16.1,55.9
NE,9.5,73.1
NV,14.8,94.2
NH,8.7,60.3
NJ,5.3,94.7
NM,16,77.4
NY,4.2,87.9
NC,11.8,66.1
ND,12.3,59.9
OH,10.3,77.9
OK,15.7,66.2
OR,11.7,81
PA,10.5,78.7
RI,3,90.7
SC,15.5,66.3
SD,10.3,56.7
TN,15.1,66.4
TX,10.7,84.7
UT,12.3,90.6
VT,10.3,38.9
VA,10.3,75.5
WA,9.7,84.1
WV,14.6,48.7
WI,8.2,70.2
WY,16.2,64.8
