STATE,Votes for Biden,Votes for Trump,Winner
AL,0,9,Trump
AK,0,3,Trump
AZ,11,0,Biden
AR,0,6,Trump
CA,55,0,Biden
CO,9,0,Biden
CT,7,0,Biden
DE,3,0,Biden
DC,3,0,Biden
FL,0,29,Trump
GA,16,0,Biden
HI,4,0,Biden
ID,0,4,Trump
IL,20,0,Biden
IN,0,11,Trump
IA,0,6,Trump
KS,0,6,Trump
KY,0,8,Trump
LA,0,8,Trump
ME,3,1,Biden
MD,10,0,Biden
MA,11,0,Biden
MI,16,0,Biden
MN,10,0,Biden
MS,0,6,Trump
MO,0,10,Trump
MT,0,3,Trump
NE,1,4,Trump
NV,6,0,Biden
NH,4,0,Biden
NJ,14,0,Biden
NM,5,0,Biden
NY,29,0,Biden
NC,0,15,Trump
ND,0,3,Trump
OH,0,18,Trump
OK,0,7,Trump
OR,7,0,Biden
PA,20,0,Biden
RI,4,0,Biden
SC,0,9,Trump
SD,0,3,Trump
TN,0,11,Trump
TX,0,38,Trump
UT,0,6,Trump
VT,3,0,Biden
VA,13,0,Biden
WA,12,0,Biden
WV,0,5,Trump
WI,10,0,Biden
WY,0,3,Trump
