index,year,month,dow,sex,count
0,1994,Jan,Sun,F,19980
1,1994,Jan,Sun,M,20268
2,1994,Jan,Mon,F,26015
3,1994,Jan,Mon,M,27132
4,1994,Jan,Tue,F,22615
5,1994,Jan,Tue,M,23903
6,1994,Jan,Wed,F,22248
7,1994,Jan,Wed,M,23194
8,1994,Jan,Thu,F,22375
9,1994,Jan,Thu,M,23670
10,1994,Jan,Fri,F,22626
11,1994,Jan,Fri,M,23708
12,1994,Jan,Sat,F,21156
13,1994,Jan,Sat,M,22107
14,1994,Feb,Sun,F,16103
15,1994,Feb,Sun,M,17011
16,1994,Feb,Mon,F,21720
17,1994,Feb,Mon,M,22575
18,1994,Feb,Tue,F,23263
19,1994,Feb,Tue,M,24664
20,1994,Feb,Wed,F,22797
21,1994,Feb,Wed,M,24023
22,1994,Feb,Thu,F,22870
23,1994,Feb,Thu,M,23660
24,1994,Feb,Fri,F,23148
25,1994,Feb,Fri,M,23886
26,1994,Feb,Sat,F,17552
27,1994,Feb,Sat,M,18356
28,1994,Mar,Sun,F,16225
29,1994,Mar,Sun,M,16874
30,1994,Mar,Mon,F,21607
31,1994,Mar,Mon,M,22722
32,1994,Mar,Tue,F,29485
33,1994,Mar,Tue,M,31394
34,1994,Mar,Wed,F,28558
35,1994,Mar,Wed,M,30064
36,1994,Mar,Thu,F,29056
37,1994,Mar,Thu,M,30433
38,1994,Mar,Fri,F,23103
39,1994,Mar,Fri,M,24318
40,1994,Mar,Sat,F,17763
41,1994,Mar,Sat,M,18476
42,1994,Apr,Sun,F,15552
43,1994,Apr,Sun,M,16152
44,1994,Apr,Mon,F,21463
45,1994,Apr,Mon,M,22549
46,1994,Apr,Tue,F,23528
47,1994,Apr,Tue,M,24746
48,1994,Apr,Wed,F,22606
49,1994,Apr,Wed,M,23973
50,1994,Apr,Thu,F,22744
51,1994,Apr,Thu,M,23757
52,1994,Apr,Fri,F,27761
53,1994,Apr,Fri,M,29237
54,1994,Apr,Sat,F,21281
55,1994,Apr,Sat,M,22364
56,1994,May,Sun,F,20118
57,1994,May,Sun,M,21178
58,1994,May,Mon,F,25990
59,1994,May,Mon,M,27143
60,1994,May,Tue,F,29112
61,1994,May,Tue,M,31126
62,1994,May,Wed,F,22717
63,1994,May,Wed,M,24022
64,1994,May,Thu,F,22854
65,1994,May,Thu,M,24365
66,1994,May,Fri,F,22731
67,1994,May,Fri,M,24069
68,1994,May,Sat,F,17157
69,1994,May,Sat,M,18018
70,1994,Jun,Sun,F,16140
71,1994,Jun,Sun,M,16966
72,1994,Jun,Mon,F,21841
73,1994,Jun,Mon,M,22663
74,1994,Jun,Tue,F,23560
75,1994,Jun,Tue,M,25111
76,1994,Jun,Wed,F,29515
77,1994,Jun,Wed,M,31093
78,1994,Jun,Thu,F,29000
79,1994,Jun,Thu,M,30816
80,1994,Jun,Fri,F,23143
81,1994,Jun,Fri,M,24436
82,1994,Jun,Sat,F,17377
83,1994,Jun,Sat,M,18425
84,1994,Jul,Sun,F,20859
85,1994,Jul,Sun,M,22355
86,1994,Jul,Mon,F,21171
87,1994,Jul,Mon,M,22324
88,1994,Jul,Tue,F,24161
89,1994,Jul,Tue,M,25164
90,1994,Jul,Wed,F,24447
91,1994,Jul,Wed,M,25612
92,1994,Jul,Thu,F,24832
93,1994,Jul,Thu,M,25749
94,1994,Jul,Fri,F,30423
95,1994,Jul,Fri,M,32133
96,1994,Jul,Sat,F,22753
97,1994,Jul,Sat,M,24242
98,1994,Aug,Sun,F,17059
99,1994,Aug,Sun,M,17865
100,1994,Aug,Mon,F,28177
101,1994,Aug,Mon,M,29288
102,1994,Aug,Tue,F,30549
103,1994,Aug,Tue,M,32121
104,1994,Aug,Wed,F,30285
105,1994,Aug,Wed,M,31244
106,1994,Aug,Thu,F,23922
107,1994,Aug,Thu,M,25266
108,1994,Aug,Fri,F,23869
109,1994,Aug,Fri,M,25265
110,1994,Aug,Sat,F,18522
111,1994,Aug,Sat,M,19148
112,1994,Sep,Sun,F,16857
113,1994,Sep,Sun,M,17334
114,1994,Sep,Mon,F,21083
115,1994,Sep,Mon,M,22096
116,1994,Sep,Tue,F,23994
117,1994,Sep,Tue,M,25247
118,1994,Sep,Wed,F,24565
119,1994,Sep,Wed,M,25588
120,1994,Sep,Thu,F,30622
121,1994,Sep,Thu,M,31863
122,1994,Sep,Fri,F,30550
123,1994,Sep,Fri,M,31941
124,1994,Sep,Sat,F,18349
125,1994,Sep,Sat,M,19531
126,1994,Oct,Sun,F,20062
127,1994,Oct,Sun,M,20700
128,1994,Oct,Mon,F,26857
129,1994,Oct,Mon,M,27777
130,1994,Oct,Tue,F,24034
131,1994,Oct,Tue,M,24536
132,1994,Oct,Wed,F,22944
133,1994,Oct,Wed,M,24219
134,1994,Oct,Thu,F,22948
135,1994,Oct,Thu,M,23816
136,1994,Oct,Fri,F,22982
137,1994,Oct,Fri,M,24247
138,1994,Oct,Sat,F,22358
139,1994,Oct,Sat,M,23061
140,1994,Nov,Sun,F,15835
141,1994,Nov,Sun,M,16474
142,1994,Nov,Mon,F,22146
143,1994,Nov,Mon,M,23051
144,1994,Nov,Tue,F,29701
145,1994,Nov,Tue,M,31603
146,1994,Nov,Wed,F,28619
147,1994,Nov,Wed,M,29603
148,1994,Nov,Thu,F,21131
149,1994,Nov,Thu,M,22083
150,1994,Nov,Fri,F,21998
151,1994,Nov,Fri,M,22782
152,1994,Nov,Sat,F,17084
153,1994,Nov,Sat,M,17656
154,1994,Dec,Sun,F,15263
155,1994,Dec,Sun,M,16007
156,1994,Dec,Mon,F,20596
157,1994,Dec,Mon,M,21281
158,1994,Dec,Tue,F,23332
159,1994,Dec,Tue,M,24537
160,1994,Dec,Wed,F,23277
161,1994,Dec,Wed,M,24611
162,1994,Dec,Thu,F,28930
163,1994,Dec,Thu,M,29818
164,1994,Dec,Fri,F,27834
165,1994,Dec,Fri,M,29082
166,1994,Dec,Sat,F,20799
167,1994,Dec,Sat,M,21724
168,1995,Jan,Sun,F,19340
169,1995,Jan,Sun,M,20311
170,1995,Jan,Mon,F,24449
171,1995,Jan,Mon,M,25476
172,1995,Jan,Tue,F,27182
173,1995,Jan,Tue,M,28580
174,1995,Jan,Wed,F,22101
175,1995,Jan,Wed,M,22886
176,1995,Jan,Thu,F,22155
177,1995,Jan,Thu,M,23246
178,1995,Jan,Fri,F,22107
179,1995,Jan,Fri,M,23324
180,1995,Jan,Sat,F,17204
181,1995,Jan,Sat,M,17926
182,1995,Feb,Sun,F,15804
183,1995,Feb,Sun,M,16467
184,1995,Feb,Mon,F,20533
185,1995,Feb,Mon,M,21393
186,1995,Feb,Tue,F,23171
187,1995,Feb,Tue,M,24084
188,1995,Feb,Wed,F,22355
189,1995,Feb,Wed,M,23725
190,1995,Feb,Thu,F,22698
191,1995,Feb,Thu,M,23545
192,1995,Feb,Fri,F,22597
193,1995,Feb,Fri,M,23619
194,1995,Feb,Sat,F,17327
195,1995,Feb,Sat,M,18046
196,1995,Mar,Sun,F,15340
197,1995,Mar,Sun,M,15931
198,1995,Mar,Mon,F,20711
199,1995,Mar,Mon,M,21871
200,1995,Mar,Tue,F,22981
201,1995,Mar,Tue,M,24326
202,1995,Mar,Wed,F,28130
203,1995,Mar,Wed,M,29425
204,1995,Mar,Thu,F,27700
205,1995,Mar,Thu,M,29500
206,1995,Mar,Fri,F,28372
207,1995,Mar,Fri,M,29742
208,1995,Mar,Sat,F,16862
209,1995,Mar,Sat,M,17883
210,1995,Apr,Sun,F,18923
211,1995,Apr,Sun,M,19528
212,1995,Apr,Mon,F,21288
213,1995,Apr,Mon,M,21976
214,1995,Apr,Tue,F,23181
215,1995,Apr,Tue,M,24224
216,1995,Apr,Wed,F,22562
217,1995,Apr,Wed,M,23927
218,1995,Apr,Thu,F,22374
219,1995,Apr,Thu,M,23601
220,1995,Apr,Fri,F,21862
221,1995,Apr,Fri,M,23344
222,1995,Apr,Sat,F,20724
223,1995,Apr,Sat,M,21847
224,1995,May,Sun,F,15717
225,1995,May,Sun,M,16701
226,1995,May,Mon,F,25762
