TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,MEDIAN HOUSING VALUE OF OWNER-OCCUPIED HOUSING UNITS (DOLLARS),,,,
R2510,0100000US,United States,87,"281,400",+/-452
R2510,0100001US,United States -- Urban,87,"298,900",+/-472
R2510,0100043US,United States -- Rural,87,"229,900",+/-802
R2510,0100089US,United States -- American Indian Reservation and Trust Land -- Federal,87,"162,200","+/-2,965"
R2510,0100091US,United States -- Oklahoma Tribal Statistical Area,87,"161,700","+/-1,532"
R2510,0100093US,United States -- Alaska Native Village Statistical Area,87,"272,300","+/-8,083"
R2510,0100094US,United States -- State Designated Tribal Statistical Area,87,"158,200","+/-2,939"
R2510,01000A0US,United States -- In metropolitan or micropolitan statistical area,87,"291,600",+/-455
R2510,01000C0US,United States -- In metropolitan statistical area,87,"306,900",+/-650
R2510,01000C1US,United States -- In metropolitan statistical area -- in principal city,87,"307,400","+/-1,233"
R2510,01000C2US,United States -- In metropolitan statistical area -- not in principal city,87,"306,600",+/-666
R2510,01000E0US,United States -- In micropolitan statistical area,87,"171,000",+/-653
R2510,01000E1US,United States -- In micropolitan statistical area -- in principal city,87,"158,900","+/-1,153"
R2510,01000E2US,United States -- In micropolitan statistical area -- not in principal city,87,"176,900","+/-1,292"
R2510,01000G0US,United States -- Not in metropolitan or micropolitan statistical area,87,"152,900",+/-723
R2510,0400000US01,Alabama,87,"172,800","+/-2,083"
R2510,0400000US02,Alaska,87,"304,900","+/-7,331"
R2510,0400000US04,Arizona,87,"336,300","+/-2,390"
R2510,0400000US05,Arkansas,87,"162,300","+/-1,975"
R2510,0400000US06,California,87,"648,100","+/-2,021"
R2510,0400000US08,Colorado,87,"466,200","+/-2,390"
R2510,0400000US09,Connecticut,87,"311,500","+/-3,506"
R2510,0400000US10,Delaware,87,"300,500","+/-6,189"
R2510,0400000US11,District of Columbia,87,"669,900","+/-18,113"
R2510,0400000US12,Florida,87,"290,700","+/-1,438"
R2510,0400000US13,Georgia,87,"249,700","+/-2,441"
R2510,0400000US15,Hawaii,87,"722,500","+/-13,667"
R2510,0400000US16,Idaho,87,"369,300","+/-4,847"
R2510,0400000US17,Illinois,87,"231,500","+/-1,606"
R2510,0400000US18,Indiana,87,"182,400","+/-2,006"
R2510,0400000US19,Iowa,87,"174,400","+/-1,658"
R2510,0400000US20,Kansas,87,"183,800","+/-2,802"
R2510,0400000US21,Kentucky,87,"173,300","+/-1,712"
R2510,0400000US22,Louisiana,87,"192,800","+/-3,009"
R2510,0400000US23,Maine,87,"252,100","+/-5,027"
R2510,0400000US24,Maryland,87,"370,800","+/-2,525"
R2510,0400000US25,Massachusetts,87,"480,600","+/-3,093"
R2510,0400000US26,Michigan,87,"199,100","+/-1,479"
R2510,0400000US27,Minnesota,87,"285,400","+/-1,533"
R2510,0400000US28,Mississippi,87,"145,600","+/-3,278"
R2510,0400000US29,Missouri,87,"198,300","+/-2,336"
R2510,0400000US30,Montana,87,"322,800","+/-6,580"
R2510,0400000US31,Nebraska,87,"204,900","+/-2,877"
R2510,0400000US32,Nevada,87,"373,000","+/-2,832"
R2510,0400000US33,New Hampshire,87,"345,200","+/-3,813"
R2510,0400000US34,New Jersey,87,"389,800","+/-2,392"
R2510,0400000US35,New Mexico,87,"214,000","+/-4,000"
R2510,0400000US36,New York,87,"368,800","+/-2,957"
R2510,0400000US37,North Carolina,87,"236,900","+/-2,044"
R2510,0400000US38,North Dakota,87,"224,400","+/-4,797"
R2510,0400000US39,Ohio,87,"180,200","+/-1,323"
R2510,0400000US40,Oklahoma,87,"168,500","+/-1,460"
R2510,0400000US41,Oregon,87,"422,700","+/-3,559"
R2510,0400000US42,Pennsylvania,87,"222,300","+/-1,434"
R2510,0400000US44,Rhode Island,87,"348,100","+/-5,126"
R2510,0400000US45,South Carolina,87,"213,500","+/-2,166"
R2510,0400000US46,South Dakota,87,"219,900","+/-4,969"
R2510,0400000US47,Tennessee,87,"235,200","+/-2,297"
R2510,0400000US48,Texas,87,"237,400","+/-1,389"
R2510,0400000US49,Utah,87,"421,700","+/-4,076"
R2510,0400000US50,Vermont,87,"271,500","+/-4,832"
R2510,0400000US51,Virginia,87,"330,600","+/-2,799"
R2510,0400000US53,Washington,87,"485,700","+/-2,911"
R2510,0400000US54,West Virginia,87,"143,200","+/-3,750"
R2510,0400000US55,Wisconsin,87,"230,700","+/-1,456"
R2510,0400000US56,Wyoming,87,"266,400","+/-7,331"
R2510,0400000US72,Puerto Rico,87,"114,100","+/-1,225"
R2510,0400001US01,Alabama -- Urban,87,"182,800","+/-3,626"
R2510,0400001US02,Alaska -- Urban,87,"317,500","+/-8,453"
R2510,0400001US04,Arizona -- Urban,87,"338,000","+/-2,836"
R2510,0400001US05,Arkansas -- Urban,87,"167,900","+/-2,853"
R2510,0400001US06,California -- Urban,87,"656,100","+/-2,122"
R2510,0400001US08,Colorado -- Urban,87,"456,400","+/-2,698"
R2510,0400001US09,Connecticut -- Urban,87,"300,900","+/-3,929"
R2510,0400001US10,Delaware -- Urban,87,"292,800","+/-6,573"
R2510,0400001US11,District of Columbia -- Urban,87,"669,900","+/-18,113"
R2510,0400001US12,Florida -- Urban,87,"290,700","+/-1,499"
R2510,0400001US13,Georgia -- Urban,87,"267,500","+/-2,688"
R2510,0400001US15,Hawaii -- Urban,87,"733,500","+/-13,205"
R2510,0400001US16,Idaho -- Urban,87,"361,600","+/-6,228"
R2510,0400001US17,Illinois -- Urban,87,"243,400","+/-1,946"
R2510,0400001US18,Indiana -- Urban,87,"176,000","+/-1,939"
R2510,0400001US19,Iowa -- Urban,87,"172,200","+/-1,853"
R2510,0400001US20,Kansas -- Urban,87,"191,200","+/-3,535"
R2510,0400001US21,Kentucky -- Urban,87,"195,500","+/-2,558"
R2510,0400001US22,Louisiana -- Urban,87,"200,800","+/-3,256"
R2510,0400001US23,Maine -- Urban,87,"282,500","+/-8,833"
R2510,0400001US24,Maryland -- Urban,87,"367,000","+/-2,643"
R2510,0400001US25,Massachusetts -- Urban,87,"485,500","+/-3,596"
