Lat,Long,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,STUSAB,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,STATE_NAME,COUNTYFP NOZERO
28.5144162588,-81.3234735281,12,095,00295750,12095,Orange,Orange County,FL,06,H1,G4020,422,36740,,A,2335820971,262462219,+28.5143906,-081.3232839,Florida,95
29.2102022904,-82.0566756823,12,083,00306922,12083,Marion,Marion County,FL,06,H1,G4020,,36100,,A,4113978836,192297049,+29.2028047,-082.0431004,Florida,83
27.9488714857,-81.6976853961,12,105,00295747,12105,Polk,Polk County,FL,06,H1,G4020,422,29460,,A,4655603728,551339930,+27.9536488,-081.6935337,Florida,105
29.7258227162,-82.8003665306,12,041,00303633,12041,Gilchrist,Gilchrist County,FL,06,H1,G4020,264,23540,,A,905705573,14362143,+29.7234556,-082.7958011,Florida,41
26.9564459351,-81.1890293853,12,043,00295743,12043,Glades,Glades County,FL,06,H1,G4020,,,,A,2089001842,466834350,+26.9548102,-081.1908197,Florida,43
29.2822055783,-82.7886132018,12,075,00295724,12075,Levy,Levy County,FL,06,H1,G4020,264,23540,,A,2896183010,762935040,+29.2844566,-082.7834620,Florida,75
28.7169755783,-81.2363275276,12,117,00303665,12117,Seminole,Seminole County,FL,06,H1,G4020,422,36740,,A,801150340,93274757,+28.6900918,-081.1319894,Florida,117
30.5794688821,-84.6135993294,12,039,00306918,12039,Gadsden,Gadsden County,FL,06,H1,G4020,,45220,,A,1337233845,31646697,+30.5786866,-084.6126072,Florida,39
26.5756896561,-81.9154527285,12,071,00295758,12071,Lee,Lee County,FL,06,H1,G4020,163,15980,,A,2023963480,1116067200,+26.5590348,-081.8919943,Florida,71
30.4441430277,-83.4701228264,12,079,00295731,12079,Madison,Madison County,FL,06,H1,G4020,,,,A,1804001484,49634046,+30.4472325,-083.4704159,Florida,79
27.3433797347,-81.3410379056,12,055,00295756,12055,Highlands,Highlands County,FL,06,H1,G4020,,42700,,A,2635685460,230708988,+27.3410799,-081.3423534,Florida,55
29.6747549911,-82.3577015483,12,001,00308548,12001,Alachua,Alachua County,FL,06,H1,G4020,264,23540,,A,2267634813,241567998,+29.6757403,-082.3572210,Florida,1
30.6929040291,-87.0184494886,12,113,00306914,12113,Santa Rosa,Santa Rosa County,FL,06,H1,G4020,426,37860,,A,2622050628,418020790,+30.7012689,-087.0128900,Florida,113
27.6963908471,-80.5740896149,12,061,00307624,12061,Indian River,Indian River County,FL,06,H1,G4020,370,42680,,A,1302203837,295578902,+27.7005283,-080.5747894,Florida,61
28.5561708513,-82.4684895116,12,053,00295751,12053,Hernando,Hernando County,FL,06,H1,G4020,,45300,,A,1224962206,300591492,+28.5730426,-082.4662272,Florida,53
27.4775188749,-82.3575458711,12,081,00295744,12081,Manatee,Manatee County,FL,06,H1,G4020,412,35840,,A,1925994820,386168924,+27.4816825,-082.3687669,Florida,81
29.6086348479,-81.7443041288,12,107,00306910,12107,Putnam,Putnam County,FL,06,H1,G4020,300,37260,,A,1885167063,256548276,+29.5938964,-081.7320389,Florida,107
30.6105780997,-81.7714179132,12,089,00295730,12089,Nassau,Nassau County,FL,06,H1,G4020,300,27260,,A,1680074659,200051074,+30.6059629,-081.7650867,Florida,89
26.5534898513,-81.1659012496,12,051,00307626,12051,Hendry,Hendry County,FL,06,H1,G4020,163,17500,,A,2994619266,87037213,+26.5399670,-081.1521142,Florida,51
28.3067419076,-82.438869799,12,101,00295739,12101,Pasco,Pasco County,FL,06,H1,G4020,,45300,,A,1933633890,315641629,+28.3077107,-082.4648324,Florida,101
30.3354403303,-81.6480093213,12,031,00293656,12031,Duval,Duval County,FL,06,H6,G4020,300,27260,,C,1975200913,403608266,+30.3352449,-081.6481132,Florida,31
30.237646533,-85.6326228076,12,005,00295738,12005,Bay,Bay County,FL,06,H1,G4020,,37460,,A,1964743641,711110042,+30.2382176,-085.6316798,Florida,5
27.3808664203,-80.4456030776,12,111,00308372,12111,St. Lucie,St. Lucie County,FL,06,H1,G4020,370,38940,,A,1480568023,300932235,+27.3798137,-080.4435357,Florida,111
30.331070985,-82.2845872684,12,003,00306920,12003,Baker,Baker County,FL,06,H1,G4020,300,27260,,A,1515738968,9686120,+30.3244416,-082.3022838,Florida,3
30.6184688458,-86.1715163089,12,131,00295727,12131,Walton,Walton County,FL,06,H1,G4020,,18880,,A,2687740188,522795160,+30.6312106,-086.1766139,Florida,131
26.1518560378,-80.4558842537,12,011,00295753,12011,Broward,Broward County,FL,06,H1,G4020,370,33100,22744,A,3115289087,310801098,+26.1935353,-080.4766834,Florida,11
30.4060343343,-85.1972071433,12,013,00306919,12013,Calhoun,Calhoun County,FL,06,H1,G4020,,,,A,1469394565,18070425,+30.3888013,-085.1979155,Florida,13
29.9499595746,-82.1687777662,12,007,00303634,12007,Bradford,Bradford County,FL,06,H1,G4020,,,,A,761362115,16905201,+29.9523863,-082.1666793,Florida,7
30.2242399397,-82.6215388925,12,023,00306909,12023,Columbia,Columbia County,FL,06,H1,G4020,264,29380,,A,2065648366,9755972,+30.2216509,-082.6233712,Florida,23
27.3863036127,-80.888585011,12,093,00295760,12093,Okeechobee,Okeechobee County,FL,06,H1,G4020,,36380,,A,1992107752,317943020,+27.3855924,-080.8873884,Florida,93
30.0195666061,-83.6189726465,12,123,00295728,12123,Taylor,Taylor County,FL,06,H1,G4020,,,,A,2702180425,489194882,+30.0099084,-083.6094825,Florida,123
29.9830664456,-81.8578845259,12,019,00295726,12019,Clay,Clay County,FL,06,H1,G4020,300,27260,,A,1565946418,100824283,+29.9865835,-081.8650364,Florida,19
30.0438391148,-82.3714410129,12,125,00306913,12125,Union,Union County,FL,06,H1,G4020,,,,A,630804540,16049423,+30.0542796,-082.3669180,Florida,125
26.6475645688,-80.4365110484,12,099,00295761,12099,Palm Beach,Palm Beach County,FL,06,H1,G4020,370,33100,48424,A,5087468869,1084901519,+26.6491257,-080.4483542,Florida,99
28.8475696914,-82.5201067311,12,017,00295752,12017,Citrus,Citrus County,FL,06,H1,G4020,,26140,,A,1507142302,495547944,+28.8436402,-082.5248099,Florida,17
29.8116835857,-84.8004565948,12,037,00306911,12037,Franklin,Franklin County,FL,06,H1,G4020,,,,A,1411908392,1275539662,+29.8101756,-084.7991742,Florida,37
29.5812415277,-83.1870324531,12,029,00295725,12029,Dixie,Dixie County,FL,06,H1,G4020,,,,A,1826222177,410621177,+29.5808994,-083.1956656,Florida,29
30.6143960313,-87.3413643298,12,033,00295737,12033,Escambia,Escambia County,FL,06,H1,G4020,426,37860,,A,1701552902,563919214,+30.6116382,-087.3388996,Florida,33
27.9062278359,-82.346916153,12,057,00295757,12057,Hillsborough,Hillsborough County,FL,06,H1,G4020,,45300,,A,2646772012,631505816,+27.9066072,-082.3497186,Florida,57
28.7048225353,-82.0809953636,12,119,00295740,12119,Sumter,Sumter County,FL,06,H1,G4020,422,45540,,A,1442966763,58774363,+28.7141008,-082.0743472,Florida,119
27.0816164392,-80.3984639525,12,085,00308550,12085,Martin,Martin County,FL,06,H1,G4020,370,38940,,A,1408486860,542095986,+27.0836036,-080.3982011,Florida,85
25.0467803277,-81.1856924179,12,087,00295759,12087,Monroe,Monroe County,FL,06,H1,G4020,370,28580,,A,2546034512,7133349995,+24.7688833,-080.9532703,Florida,87
30.7953911236,-85.2154596916,12,063,00295734,12063,Jackson,Jackson County,FL,06,H1,G4020,,,,A,2378066187,94242663,+30.7892485,-085.2088141,Florida,63
29.9121811706,-81.4098866827,12,109,00308371,12109,St. Johns,St. Johns County,FL,06,H1,G4020,300,27260,,A,1555456032,572308820,+29.8904875,-081.4000404,Florida,109
30.6650297247,-86.5921750794,12,091,00306915,12091,Okaloosa,Okaloosa County,FL,06,H1,G4020,,18880,,A,2409272023,393297372,+30.6658510,-086.5941872,Florida,91
26.0992389901,-81.3809730552,12,021,00295754,12021,Collier,Collier County,FL,06,H1,G4020,163,34940,,A,5172045734,797817705,+26.1187860,-081.4009553,Florida,21
27.1824778115,-82.3649735213,12,115,00295741,12115,Sarasota,Sarasota County,FL,06,H1,G4020,412,35840,,A,1439998180,438480422,+27.1843855,-082.3658351,Florida,115
28.7614688332,-81.7113031676,12,069,00308551,12069,Lake,Lake County,FL,06,H1,G4020,422,36740,,A,2462450874,534024151,+28.7641128,-081.7122822,Florida,69
30.4234582107,-83.9004744786,12,065,00295733,12065,Jefferson,Jefferson County,FL,06,H1,G4020,,45220,,A,1549012954,99610823,+30.4245577,-083.8908594,Florida,65
30.4964266893,-82.9479591393,12,047,00295736,12047,Hamilton,Hamilton County,FL,06,H1,G4020,,,,A,1330689567,13659798,+30.4911868,-082.9510714,Florida,47
30.6105923313,-85.6653287163,12,133,00295762,12133,Washington,Washington County,FL,06,H1,G4020,,,,A,1514305977,81008176,+30.6022166,-085.6627968,Florida,133
26.8998432654,-81.9503159678,12,015,00295742,12015,Charlotte,Charlotte County,FL,06,H1,G4020,412,39460,,A,1764058559,458736680,+26.8689745,-081.9412782,Florida,15
25.6089674858,-80.4986673175,12,086,00295755,12086,Miami-Dade,Miami-Dade County,FL,06,H1,G4020,370,33100,33124,A,4920565755,1376144237,+25.6105799,-080.4970989,Florida,86
29.4711426482,-81.2929913884,12,035,00308547,12035,Flagler,Flagler County,FL,06,H1,G4020,422,19660,,A,1256519820,221918896,+29.4748909,-081.2862532,Florida,35
30.8678906078,-85.8141023534,12,059,00295735,12059,Holmes,Holmes County,FL,06,H1,G4020,,,,A,1240232912,26393538,+30.8620072,-085.8159385,Florida,59
29.9086211231,-85.2610062794,12,045,00306917,12045,Gulf,Gulf County,FL,06,H1,G4020,,,,A,1433401108,494650564,+29.9072571,-085.2565366,Florida,45
29.9855183221,-83.1810673054,12,067,00295732,12067,Lafayette,Lafayette County,FL,06,H1,G4020,,,,A,1407256297,11817999,+29.9900661,-083.1785097,Florida,67
28.300314142,-80.7012054832,12,009,00295749,12009,Brevard,Brevard County,FL,06,H1,G4020,,37340,,A,2628793422,1403880653,+28.2983112,-080.7003334,Florida,9
30.2413631478,-84.8829111582,12,077,00308549,12077,Liberty,Liberty County,FL,06,H1,G4020,,,,A,2164099094,19582444,+30.2598494,-084.8685805,Florida,77
27.9026762041,-82.7395539464,12,103,00295745,12103,Pinellas,Pinellas County,FL,06,H1,G4020,,45300,,A,709079114,865966111,+27.9031078,-082.7395188,Florida,103
30.1956117481,-82.9914923725,12,121,00295729,12121,Suwannee,Suwannee County,FL,06,H1,G4020,,,,A,1783342112,9593307,+30.1892438,-082.9927542,Florida,121
27.4927094815,-81.8100059395,12,049,00295746,12049,Hardee,Hardee County,FL,06,H1,G4020,422,48100,,A,1651311553,1457910,+27.4928458,-081.8215798,Florida,49
30.458037893,-84.2778815189,12,073,00306916,12073,Leon,Leon County,FL,06,H1,G4020,,45220,,A,1727237331,90397079,+30.4593104,-084.2778004,Florida,73
27.1863023348,-81.8094429515,12,027,00294452,12027,DeSoto,DeSoto County,FL,06,H1,G4020,412,11580,,A,1649027549,6243548,+27.1905809,-081.8062531,Florida,27
28.0626646156,-81.1494997552,12,097,00295748,12097,Osceola,Osceola County,FL,06,H1,G4020,422,36740,,A,3438372945,462245351,+28.0590267,-081.1393116,Florida,97
30.1477719789,-84.3756074885,12,129,00306912,12129,Wakulla,Wakulla County,FL,06,H1,G4020,,45220,,A,1570615733,334902363,+30.1394320,-084.3748463,Florida,129
29.0634475051,-81.1485743573,12,127,00306921,12127,Volusia,Volusia County,FL,06,H1,G4020,422,19660,,A,2852204344,857791723,+29.0577690,-081.1617920,Florida,127
